indeks klienta; data; Wejœcie; Wyjœcie; P/S; SEJF
375; 2017-06-17; 13:29:00; 15:47:00; P; N
377; 2017-06-04; 10:04:00; 13:36:00; P; T
378; 2017-05-02; 13:16:00; 16:12:00; S; N
378; 2017-05-08; 08:54:00; 11:54:00; P; N
378; 2017-05-04; 16:40:00; 17:40:00; P; T
379; 2017-05-24; 09:17:00; 11:31:00; P; T
384; 2017-05-31; 16:14:00; 19:54:00; P; T
385; 2017-05-09; 15:27:00; 16:13:00; P; N
386; 2017-06-27; 17:43:00; 20:53:00; S; T
387; 2017-06-26; 09:06:00; 12:38:00; S; N
387; 2017-06-21; 16:41:00; 19:24:00; P; N
388; 2017-06-06; 12:37:00; 13:53:00; P; N
390; 2017-06-17; 08:41:00; 09:59:00; S; T
390; 2017-06-03; 09:58:00; 11:11:00; P; N
391; 2017-06-25; 14:54:00; 15:23:00; P; N
392; 2017-06-19; 08:42:00; 09:02:00; P; N
392; 2017-06-16; 10:31:00; 13:33:00; P; N
393; 2017-06-25; 14:04:00; 16:12:00; P; N
393; 2017-05-29; 09:17:00; 11:31:00; P; T
393; 2017-06-24; 14:32:00; 16:34:00; S; N
394; 2017-05-01; 09:06:00; 12:38:00; P; T
395; 2017-06-07; 08:07:00; 11:57:00; P; N
396; 2017-06-21; 10:31:00; 11:05:00; S; N
396; 2017-06-19; 13:38:00; 16:22:00; S; N
400; 2017-05-27; 16:52:00; 18:23:00; S; T
400; 2017-05-07; 09:37:00; 12:52:00; P; N
400; 2017-06-13; 16:40:00; 17:40:00; P; N
401; 2017-05-13; 12:18:00; 14:06:00; P; N
402; 2017-06-20; 14:01:00; 16:47:00; P; T
402; 2017-06-22; 13:44:00; 15:20:00; P; T
403; 2017-06-07; 17:59:00; 20:46:00; P; N
404; 2017-06-23; 17:43:00; 19:31:00; S; N
404; 2017-05-14; 17:59:00; 20:46:00; P; N
405; 2017-06-08; 12:08:00; 13:18:00; P; N
411; 2017-06-28; 13:35:00; 14:57:00; P; T
411; 2017-06-06; 10:57:00; 12:25:00; P; N
412; 2017-05-10; 12:32:00; 15:48:00; S; N
412; 2017-06-08; 12:08:00; 13:18:00; P; N
413; 2017-06-22; 08:46:00; 10:52:00; P; N
413; 2017-05-27; 17:45:00; 19:22:00; P; N
414; 2017-05-25; 14:01:00; 16:47:00; P; N
414; 2017-06-01; 08:42:00; 09:02:00; P; N
417; 2017-05-23; 08:55:00; 10:16:00; P; N
418; 2017-05-01; 11:41:00; 13:19:00; P; N
419; 2017-06-21; 10:39:00; 11:46:00; P; N
419; 2017-05-02; 10:51:00; 11:05:00; P; N
420; 2017-06-20; 12:01:00; 13:08:00; S; N
422; 2017-05-27; 08:55:00; 10:16:00; P; N
422; 2017-05-18; 16:14:00; 19:54:00; P; N
422; 2017-06-26; 12:08:00; 13:18:00; P; N
422; 2017-05-30; 10:53:00; 13:11:00; P; N
426; 2017-06-29; 17:45:00; 19:22:00; P; N
426; 2017-05-05; 12:37:00; 13:53:00; P; N
426; 2017-05-27; 09:47:00; 10:54:00; P; N
427; 2017-05-10; 12:08:00; 13:18:00; P; N
428; 2017-05-10; 16:52:00; 18:23:00; S; N
429; 2017-05-21; 17:43:00; 20:53:00; P; N
429; 2017-05-14; 15:59:00; 16:34:00; P; N
429; 2017-06-19; 14:06:00; 17:15:00; P; N
430; 2017-06-28; 11:23:00; 13:09:00; P; N
432; 2017-05-24; 15:27:00; 16:13:00; P; N
433; 2017-05-17; 15:59:00; 16:34:00; S; N
434; 2017-05-27; 15:51:00; 18:13:00; P; T
434; 2017-05-01; 08:42:00; 09:02:00; P; N
435; 2017-06-18; 12:37:00; 13:53:00; P; N
435; 2017-06-15; 17:45:00; 19:22:00; S; N
436; 2017-05-11; 16:14:00; 19:54:00; P; N
436; 2017-05-08; 09:58:00; 10:36:00; P; T
436; 2017-06-22; 10:04:00; 13:36:00; S; T
437; 2017-06-19; 08:55:00; 10:16:00; P; N
438; 2017-05-02; 13:31:00; 15:55:00; P; N
439; 2017-05-19; 11:41:00; 13:19:00; P; N
439; 2017-06-08; 17:43:00; 19:31:00; S; T
439; 2017-06-20; 13:38:00; 16:22:00; S; N
441; 2017-06-19; 09:58:00; 11:11:00; P; N
442; 2017-06-14; 15:51:00; 18:13:00; P; N
443; 2017-05-21; 12:32:00; 15:48:00; S; T
444; 2017-06-02; 17:43:00; 20:53:00; P; T
444; 2017-05-10; 17:45:00; 19:22:00; P; N
445; 2017-06-05; 13:38:00; 16:22:00; P; N
445; 2017-05-24; 10:51:00; 11:05:00; P; N
446; 2017-05-12; 09:58:00; 11:11:00; P; N
446; 2017-05-27; 10:53:00; 13:11:00; P; T
447; 2017-05-18; 10:31:00; 11:05:00; S; T
447; 2017-05-29; 09:37:00; 12:52:00; P; N
448; 2017-05-09; 15:59:00; 16:34:00; P; N
449; 2017-05-15; 09:31:00; 10:53:00; P; T
450; 2017-05-26; 09:37:00; 12:52:00; P; N
450; 2017-06-09; 08:41:00; 09:59:00; P; N
450; 2017-06-16; 12:18:00; 14:06:00; P; N
451; 2017-06-09; 12:37:00; 13:53:00; P; T
452; 2017-05-30; 15:59:00; 18:05:00; P; N
453; 2017-06-09; 16:18:00; 17:53:00; P; N
453; 2017-05-08; 13:31:00; 15:55:00; P; N
453; 2017-05-02; 09:58:00; 11:11:00; P; N
453; 2017-06-07; 09:31:00; 10:53:00; S; N
454; 2017-06-30; 10:51:00; 11:05:00; P; T
455; 2017-05-12; 12:01:00; 13:08:00; P; T
455; 2017-05-09; 13:46:00; 16:01:00; P; T
456; 2017-05-18; 13:16:00; 16:12:00; P; N
457; 2017-06-20; 12:37:00; 13:53:00; P; N
461; 2017-06-15; 17:43:00; 20:53:00; P; N
461; 2017-06-10; 16:14:00; 19:54:00; P; N
463; 2017-05-22; 14:32:00; 16:34:00; P; N
464; 2017-05-01; 08:46:00; 10:52:00; P; T
466; 2017-06-18; 12:37:00; 13:53:00; P; N
467; 2017-05-28; 11:23:00; 13:09:00; P; N
468; 2017-05-22; 11:50:00; 12:55:00; S; N
469; 2017-06-16; 15:59:00; 18:05:00; P; N
469; 2017-06-18; 16:41:00; 19:24:00; P; N
469; 2017-06-29; 10:51:00; 11:05:00; S; N
470; 2017-06-05; 16:41:00; 19:24:00; P; N
470; 2017-06-30; 09:17:00; 11:31:00; P; N
471; 2017-05-16; 17:45:00; 19:22:00; P; N
472; 2017-06-19; 10:51:00; 11:05:00; P; N
472; 2017-05-23; 10:31:00; 13:33:00; P; N
472; 2017-06-16; 15:27:00; 16:13:00; P; T
473; 2017-05-06; 14:04:00; 16:12:00; P; N
474; 2017-06-09; 17:59:00; 20:46:00; P; T
475; 2017-05-23; 15:51:00; 18:13:00; P; N
476; 2017-06-09; 10:57:00; 12:25:00; P; N
476; 2017-06-29; 16:14:00; 19:54:00; P; N
476; 2017-05-22; 13:46:00; 16:01:00; S; N
476; 2017-06-07; 17:59:00; 20:46:00; P; N
477; 2017-05-16; 16:52:00; 18:23:00; P; N
477; 2017-05-12; 11:50:00; 12:55:00; S; N
478; 2017-05-05; 12:18:00; 14:06:00; P; N
479; 2017-05-18; 15:59:00; 16:34:00; P; N
479; 2017-05-04; 14:40:00; 17:43:00; P; N
480; 2017-06-10; 16:18:00; 17:53:00; P; T
481; 2017-06-09; 13:38:00; 16:22:00; S; T
482; 2017-06-22; 14:01:00; 16:47:00; P; N
482; 2017-06-02; 14:32:00; 16:34:00; P; T
482; 2017-06-29; 13:54:00; 16:53:00; P; N
483; 2017-06-11; 10:04:00; 13:36:00; P; N
483; 2017-06-15; 14:32:00; 16:34:00; P; T
483; 2017-06-10; 08:46:00; 10:52:00; P; N
484; 2017-06-03; 09:37:00; 12:52:00; S; N
484; 2017-05-08; 12:18:00; 14:06:00; P; N
484; 2017-05-04; 13:16:00; 16:12:00; P; N
485; 2017-06-20; 16:41:00; 19:24:00; P; T
485; 2017-05-09; 16:52:00; 18:23:00; P; N
486; 2017-05-23; 11:23:00; 13:09:00; P; N
487; 2017-06-06; 09:06:00; 12:38:00; P; N
489; 2017-05-22; 16:41:00; 19:24:00; P; N
491; 2017-05-12; 09:41:00; 12:58:00; P; N
491; 2017-05-06; 09:17:00; 11:31:00; P; N
491; 2017-05-10; 17:00:00; 20:17:00; P; N
492; 2017-06-06; 10:31:00; 13:33:00; P; N
493; 2017-06-05; 14:01:00; 16:47:00; S; N
493; 2017-06-08; 09:58:00; 10:36:00; P; N
494; 2017-06-03; 16:52:00; 18:23:00; P; N
494; 2017-06-12; 09:31:00; 10:53:00; P; N
495; 2017-06-15; 08:07:00; 11:57:00; P; T
495; 2017-05-05; 15:59:00; 18:05:00; P; N
496; 2017-06-21; 16:52:00; 18:23:00; P; N
496; 2017-05-28; 10:31:00; 11:05:00; P; N
498; 2017-05-17; 09:31:00; 10:53:00; P; T
500; 2017-06-12; 12:37:00; 13:53:00; P; N
500; 2017-06-07; 13:38:00; 16:22:00; P; N
501; 2017-05-25; 09:06:00; 12:38:00; S; N
502; 2017-06-10; 12:18:00; 14:06:00; P; N
502; 2017-06-19; 11:23:00; 13:09:00; P; T
503; 2017-05-04; 10:57:00; 12:25:00; P; N
503; 2017-06-08; 09:41:00; 12:58:00; S; N
504; 2017-05-21; 16:18:00; 17:53:00; S; T
505; 2017-06-22; 16:41:00; 19:24:00; P; N
506; 2017-06-11; 08:55:00; 10:16:00; S; T
506; 2017-05-09; 09:41:00; 12:58:00; P; N
506; 2017-06-09; 13:46:00; 16:01:00; S; N
508; 2017-05-13; 16:19:00; 19:59:00; P; N
508; 2017-05-05; 14:54:00; 15:23:00; P; N
508; 2017-06-21; 13:29:00; 15:47:00; S; N
508; 2017-06-30; 10:04:00; 13:36:00; P; T
509; 2017-05-20; 16:52:00; 18:23:00; P; N
509; 2017-05-26; 08:07:00; 11:57:00; S; N
510; 2017-06-11; 14:04:00; 16:12:00; P; N
510; 2017-05-06; 14:04:00; 16:12:00; P; N
511; 2017-06-18; 11:50:00; 12:55:00; P; N
511; 2017-06-11; 15:59:00; 16:34:00; P; N
512; 2017-05-01; 17:43:00; 19:31:00; P; T
512; 2017-05-04; 08:54:00; 11:54:00; P; N
512; 2017-05-07; 11:50:00; 12:55:00; S; N
513; 2017-05-19; 13:35:00; 14:57:00; P; N
513; 2017-05-07; 09:37:00; 12:52:00; P; N
513; 2017-06-13; 13:29:00; 15:47:00; P; N
514; 2017-05-11; 14:32:00; 16:34:00; S; N
517; 2017-06-02; 17:45:00; 19:22:00; P; T
517; 2017-05-19; 12:08:00; 13:18:00; P; N
518; 2017-06-29; 08:55:00; 10:16:00; P; N
518; 2017-05-07; 08:42:00; 09:02:00; P; T
519; 2017-05-30; 17:45:00; 19:22:00; S; N
520; 2017-06-28; 09:29:00; 12:05:00; P; N
521; 2017-06-17; 14:04:00; 16:12:00; P; T
522; 2017-06-27; 13:54:00; 16:53:00; P; T
524; 2017-06-01; 15:27:00; 16:13:00; S; N
526; 2017-06-16; 12:08:00; 13:18:00; P; N
526; 2017-05-25; 16:41:00; 19:24:00; P; N
526; 2017-06-16; 14:06:00; 17:15:00; P; T
531; 2017-05-04; 10:57:00; 12:25:00; P; T
531; 2017-06-26; 13:46:00; 16:01:00; P; N
532; 2017-06-18; 16:40:00; 17:40:00; P; T
532; 2017-05-05; 08:55:00; 10:16:00; P; N
533; 2017-06-17; 12:08:00; 13:18:00; P; N
533; 2017-05-14; 08:42:00; 09:02:00; P; N
533; 2017-05-20; 09:41:00; 12:58:00; S; N
534; 2017-05-21; 16:41:00; 19:24:00; S; N
534; 2017-05-24; 17:20:00; 19:35:00; P; T
534; 2017-06-28; 14:04:00; 16:12:00; P; N
535; 2017-05-27; 12:08:00; 13:18:00; P; N
536; 2017-05-06; 12:01:00; 13:08:00; S; N
536; 2017-05-14; 08:54:00; 11:54:00; S; N
537; 2017-06-22; 13:16:00; 16:12:00; P; N
537; 2017-05-17; 17:20:00; 19:35:00; P; N
537; 2017-05-10; 10:51:00; 11:05:00; P; T
538; 2017-05-03; 17:43:00; 19:31:00; S; T
539; 2017-06-30; 09:58:00; 11:11:00; P; N
540; 2017-06-11; 15:27:00; 16:13:00; S; N
541; 2017-06-25; 12:37:00; 13:53:00; P; N
542; 2017-06-08; 12:18:00; 14:06:00; S; T
543; 2017-05-06; 16:14:00; 19:54:00; P; N
544; 2017-06-19; 16:40:00; 17:40:00; S; N
546; 2017-05-09; 10:39:00; 11:46:00; P; N
546; 2017-05-20; 15:59:00; 16:34:00; P; N
547; 2017-05-26; 14:54:00; 15:23:00; P; N
547; 2017-05-30; 17:59:00; 20:46:00; P; N
548; 2017-06-05; 15:59:00; 18:05:00; P; N
548; 2017-06-04; 16:51:00; 17:29:00; P; N
548; 2017-05-08; 15:27:00; 16:13:00; P; N
548; 2017-05-03; 10:31:00; 13:33:00; P; N
548; 2017-05-29; 09:31:00; 10:53:00; S; T
550; 2017-05-25; 09:37:00; 12:52:00; P; N
551; 2017-05-12; 08:42:00; 09:02:00; P; N
552; 2017-06-04; 15:59:00; 18:05:00; P; N
553; 2017-06-29; 14:04:00; 16:12:00; P; N
553; 2017-05-18; 14:04:00; 16:12:00; S; N
553; 2017-05-15; 14:01:00; 16:47:00; P; N
553; 2017-06-16; 11:50:00; 12:55:00; P; N
555; 2017-06-11; 17:59:00; 20:46:00; P; T
556; 2017-06-29; 13:38:00; 16:22:00; S; T
557; 2017-06-19; 12:08:00; 13:18:00; P; N
557; 2017-06-24; 16:40:00; 17:40:00; P; N
557; 2017-05-16; 13:31:00; 15:55:00; S; N
558; 2017-05-16; 17:43:00; 19:31:00; P; N
558; 2017-06-16; 14:54:00; 15:23:00; P; N
559; 2017-06-19; 14:01:00; 16:47:00; P; N
559; 2017-06-01; 10:57:00; 12:25:00; P; N
560; 2017-05-02; 12:01:00; 13:08:00; P; N
561; 2017-06-01; 08:46:00; 10:52:00; P; N
561; 2017-05-10; 17:59:00; 20:46:00; S; N
562; 2017-05-18; 09:37:00; 12:52:00; P; N
563; 2017-06-23; 17:43:00; 19:31:00; P; T
563; 2017-06-24; 10:39:00; 11:46:00; P; N
565; 2017-06-11; 10:51:00; 11:05:00; P; N
565; 2017-05-05; 08:54:00; 11:54:00; P; N
565; 2017-06-11; 13:44:00; 15:20:00; P; N
565; 2017-05-16; 17:59:00; 20:46:00; P; T
567; 2017-05-27; 14:04:00; 16:12:00; S; N
568; 2017-06-02; 14:32:00; 16:34:00; P; N
569; 2017-05-19; 14:06:00; 17:15:00; P; T
570; 2017-05-17; 09:58:00; 10:36:00; P; N
570; 2017-06-15; 09:47:00; 10:54:00; P; N
571; 2017-05-31; 10:31:00; 13:33:00; P; N
571; 2017-05-06; 13:54:00; 16:53:00; P; T
572; 2017-06-23; 11:50:00; 12:55:00; P; N
574; 2017-06-02; 08:46:00; 10:52:00; P; N
575; 2017-06-01; 08:46:00; 10:52:00; P; N
575; 2017-05-24; 11:23:00; 13:09:00; P; T
577; 2017-05-16; 16:40:00; 17:40:00; P; T
577; 2017-05-09; 13:38:00; 16:22:00; P; N
577; 2017-05-16; 14:40:00; 17:43:00; P; T
578; 2017-06-19; 08:55:00; 10:16:00; P; N
580; 2017-05-22; 13:46:00; 16:01:00; P; T
580; 2017-06-02; 12:08:00; 13:18:00; P; N
580; 2017-06-03; 14:40:00; 17:43:00; P; N
581; 2017-06-18; 16:19:00; 19:59:00; P; T
581; 2017-05-26; 16:51:00; 17:29:00; P; N
582; 2017-06-17; 16:40:00; 17:40:00; P; N
583; 2017-05-30; 16:14:00; 19:54:00; P; T
583; 2017-05-04; 16:14:00; 19:54:00; P; N
585; 2017-06-07; 11:50:00; 12:55:00; P; N
586; 2017-06-03; 12:01:00; 13:08:00; P; T
586; 2017-06-11; 09:31:00; 10:53:00; P; N
588; 2017-06-23; 09:41:00; 12:58:00; P; N
590; 2017-05-15; 10:57:00; 12:25:00; P; N
590; 2017-06-07; 17:59:00; 20:46:00; S; N
590; 2017-06-03; 09:58:00; 11:11:00; P; N
591; 2017-06-29; 15:27:00; 16:13:00; P; N
592; 2017-06-13; 12:08:00; 13:18:00; P; N
592; 2017-05-31; 08:41:00; 09:59:00; S; N
594; 2017-06-16; 08:42:00; 09:02:00; S; N
594; 2017-05-09; 08:41:00; 09:59:00; P; N
595; 2017-06-08; 16:14:00; 19:54:00; S; T
596; 2017-05-16; 15:59:00; 18:05:00; P; N
597; 2017-06-27; 09:41:00; 12:58:00; P; N
597; 2017-05-07; 17:20:00; 19:35:00; P; N
598; 2017-06-25; 17:43:00; 20:53:00; P; T
599; 2017-06-10; 17:43:00; 19:31:00; S; T
600; 2017-05-17; 09:47:00; 10:54:00; P; N
601; 2017-05-27; 09:41:00; 12:58:00; S; N
602; 2017-06-05; 09:47:00; 10:54:00; P; N
602; 2017-05-01; 12:32:00; 15:48:00; S; N
603; 2017-05-23; 09:47:00; 10:54:00; P; T
603; 2017-05-23; 11:50:00; 12:55:00; P; N
604; 2017-05-28; 10:51:00; 11:05:00; P; N
604; 2017-06-27; 08:41:00; 09:59:00; S; N
604; 2017-05-03; 17:00:00; 20:17:00; S; T
606; 2017-06-08; 09:29:00; 12:05:00; P; T
606; 2017-06-04; 08:55:00; 10:16:00; P; N
606; 2017-06-10; 16:51:00; 17:29:00; P; N
606; 2017-06-25; 17:43:00; 19:31:00; P; N
607; 2017-05-05; 11:50:00; 12:55:00; S; N
608; 2017-06-24; 17:45:00; 19:22:00; P; N
609; 2017-06-08; 14:40:00; 17:43:00; P; N
609; 2017-06-15; 08:46:00; 10:52:00; P; N
610; 2017-06-19; 13:29:00; 15:47:00; P; N
610; 2017-06-08; 08:07:00; 11:57:00; P; T
611; 2017-06-01; 09:58:00; 10:36:00; P; N
612; 2017-06-09; 17:20:00; 19:35:00; S; T
614; 2017-05-23; 16:19:00; 19:59:00; P; N
616; 2017-05-30; 13:31:00; 15:55:00; P; N
617; 2017-05-26; 09:58:00; 10:36:00; P; N
620; 2017-05-20; 14:32:00; 16:34:00; P; T
622; 2017-05-12; 11:23:00; 13:09:00; P; N
622; 2017-05-31; 17:20:00; 19:35:00; P; N
622; 2017-06-21; 08:55:00; 10:16:00; S; N
622; 2017-06-18; 13:46:00; 16:01:00; P; N
623; 2017-06-05; 17:43:00; 20:53:00; P; N
624; 2017-06-04; 10:39:00; 11:46:00; P; N
625; 2017-05-27; 12:18:00; 14:06:00; P; N
628; 2017-05-12; 10:31:00; 11:05:00; P; N
629; 2017-06-19; 10:31:00; 11:05:00; P; T
631; 2017-05-20; 08:07:00; 11:57:00; P; T
631; 2017-05-20; 14:32:00; 16:34:00; P; N
631; 2017-05-14; 10:57:00; 12:25:00; P; T
632; 2017-06-14; 14:32:00; 16:34:00; P; N
633; 2017-06-01; 12:37:00; 13:53:00; P; N
633; 2017-06-07; 10:31:00; 11:05:00; P; T
634; 2017-06-01; 14:40:00; 17:43:00; P; N
635; 2017-06-20; 14:40:00; 17:43:00; S; N
636; 2017-05-26; 14:54:00; 15:23:00; P; N
637; 2017-06-12; 17:59:00; 20:46:00; S; N
641; 2017-06-07; 16:52:00; 18:23:00; P; N
641; 2017-05-09; 11:41:00; 13:19:00; P; N
641; 2017-05-14; 09:41:00; 12:58:00; P; N
644; 2017-05-31; 11:23:00; 13:09:00; P; N
644; 2017-05-04; 10:57:00; 12:25:00; P; N
645; 2017-06-28; 15:59:00; 18:05:00; P; N
646; 2017-05-19; 10:04:00; 13:36:00; P; N
647; 2017-06-17; 08:07:00; 11:57:00; P; N
647; 2017-06-14; 15:59:00; 18:05:00; P; N
648; 2017-05-30; 13:44:00; 15:20:00; P; N
648; 2017-06-12; 16:51:00; 17:29:00; P; T
649; 2017-06-28; 08:46:00; 10:52:00; P; T
650; 2017-05-29; 08:46:00; 10:52:00; P; T
650; 2017-05-06; 10:53:00; 13:11:00; P; N
652; 2017-06-02; 10:57:00; 12:25:00; P; N
652; 2017-05-26; 13:16:00; 16:12:00; P; N
652; 2017-06-11; 09:58:00; 10:36:00; P; N
653; 2017-06-26; 15:59:00; 18:05:00; S; T
656; 2017-05-02; 17:45:00; 19:22:00; P; N
658; 2017-05-16; 13:54:00; 16:53:00; S; N
658; 2017-06-01; 12:18:00; 14:06:00; P; N
659; 2017-05-20; 10:57:00; 12:25:00; P; N
659; 2017-06-19; 13:35:00; 14:57:00; P; N
661; 2017-06-20; 14:01:00; 16:47:00; P; N
661; 2017-05-20; 14:04:00; 16:12:00; P; N
662; 2017-05-21; 14:40:00; 17:43:00; P; N
662; 2017-05-25; 16:14:00; 19:54:00; P; N
663; 2017-05-09; 08:55:00; 10:16:00; P; N
664; 2017-05-17; 16:52:00; 18:23:00; P; T
664; 2017-06-03; 14:32:00; 16:34:00; P; T
665; 2017-05-12; 09:29:00; 12:05:00; P; N
666; 2017-05-22; 15:51:00; 18:13:00; P; N
670; 2017-05-15; 17:43:00; 19:31:00; P; N
672; 2017-05-02; 17:20:00; 19:35:00; P; N
674; 2017-06-05; 11:41:00; 13:19:00; P; N
674; 2017-06-02; 13:31:00; 15:55:00; P; N
675; 2017-05-21; 16:51:00; 17:29:00; P; N
676; 2017-05-11; 12:37:00; 13:53:00; P; T
677; 2017-06-21; 17:43:00; 20:53:00; P; N
678; 2017-05-11; 11:41:00; 13:19:00; P; N
678; 2017-06-29; 13:44:00; 15:20:00; P; N
679; 2017-06-06; 17:59:00; 20:46:00; S; T
680; 2017-05-03; 10:31:00; 11:05:00; P; N
681; 2017-05-26; 14:04:00; 16:12:00; P; N
681; 2017-06-11; 13:46:00; 16:01:00; P; N
681; 2017-06-19; 17:43:00; 19:31:00; S; T
681; 2017-06-02; 10:53:00; 13:11:00; P; N
681; 2017-06-26; 12:18:00; 14:06:00; S; N
682; 2017-06-15; 16:14:00; 19:54:00; S; T
683; 2017-05-09; 09:58:00; 10:36:00; P; N
683; 2017-05-17; 15:59:00; 18:05:00; P; N
684; 2017-06-28; 12:18:00; 14:06:00; P; N
685; 2017-05-13; 11:41:00; 13:19:00; S; N
686; 2017-06-23; 10:57:00; 12:25:00; P; N
686; 2017-05-09; 11:23:00; 13:09:00; S; N
686; 2017-06-13; 12:37:00; 13:53:00; P; N
688; 2017-05-23; 13:38:00; 16:22:00; P; N
688; 2017-05-03; 10:57:00; 12:25:00; P; N
688; 2017-06-05; 12:32:00; 15:48:00; P; N
690; 2017-06-26; 10:04:00; 13:36:00; S; N
690; 2017-06-29; 10:57:00; 12:25:00; P; T
693; 2017-05-12; 14:06:00; 17:15:00; P; N
693; 2017-05-19; 13:29:00; 15:47:00; P; N
693; 2017-06-06; 09:41:00; 12:58:00; S; N
694; 2017-05-10; 11:50:00; 12:55:00; P; N
695; 2017-05-04; 13:54:00; 16:53:00; P; N
696; 2017-06-21; 10:04:00; 13:36:00; P; N
696; 2017-06-11; 13:38:00; 16:22:00; P; N
697; 2017-06-08; 16:40:00; 17:40:00; S; N
697; 2017-06-21; 08:41:00; 09:59:00; P; T
697; 2017-06-09; 14:40:00; 17:43:00; P; N
698; 2017-05-07; 14:40:00; 17:43:00; P; T
698; 2017-06-29; 17:20:00; 19:35:00; P; N
698; 2017-05-02; 13:44:00; 15:20:00; P; N
700; 2017-06-04; 10:31:00; 11:05:00; S; N
700; 2017-05-22; 10:31:00; 11:05:00; S; N
703; 2017-05-09; 16:51:00; 17:29:00; P; N
703; 2017-06-03; 08:55:00; 10:16:00; P; N
707; 2017-06-27; 09:17:00; 11:31:00; P; N
708; 2017-05-06; 13:46:00; 16:01:00; P; N
709; 2017-06-12; 08:46:00; 10:52:00; S; N
709; 2017-05-05; 10:31:00; 13:33:00; P; T
712; 2017-06-22; 12:32:00; 15:48:00; P; N
715; 2017-06-15; 14:01:00; 16:47:00; S; N
716; 2017-06-23; 09:06:00; 12:38:00; P; N
716; 2017-05-06; 14:40:00; 17:43:00; P; N
717; 2017-05-09; 16:41:00; 19:24:00; P; T
718; 2017-06-08; 09:31:00; 10:53:00; P; N
719; 2017-05-21; 16:52:00; 18:23:00; S; N
719; 2017-05-16; 14:01:00; 16:47:00; P; N
719; 2017-05-09; 13:35:00; 14:57:00; P; T
721; 2017-05-16; 09:41:00; 12:58:00; P; N
721; 2017-05-27; 15:27:00; 16:13:00; P; N
722; 2017-05-24; 09:58:00; 11:11:00; P; N
723; 2017-06-03; 13:31:00; 15:55:00; P; N
723; 2017-06-29; 13:46:00; 16:01:00; P; N
724; 2017-05-22; 14:04:00; 16:12:00; P; N
725; 2017-06-06; 10:53:00; 13:11:00; P; N
725; 2017-06-05; 14:01:00; 16:47:00; S; N
726; 2017-05-18; 15:59:00; 16:34:00; P; N
727; 2017-06-26; 09:58:00; 10:36:00; P; N
728; 2017-05-15; 12:32:00; 15:48:00; P; N
728; 2017-06-26; 08:42:00; 09:02:00; P; N
730; 2017-06-06; 14:54:00; 15:23:00; P; N
731; 2017-06-22; 08:07:00; 11:57:00; P; N
732; 2017-06-13; 08:07:00; 11:57:00; P; T
732; 2017-05-09; 17:45:00; 19:22:00; P; N
735; 2017-06-26; 10:31:00; 13:33:00; P; T
736; 2017-05-28; 16:41:00; 19:24:00; P; N
738; 2017-05-09; 14:40:00; 17:43:00; P; N
739; 2017-06-17; 12:32:00; 15:48:00; P; N
740; 2017-05-26; 09:58:00; 10:36:00; P; N
741; 2017-05-02; 17:20:00; 19:35:00; P; N
742; 2017-05-09; 08:46:00; 10:52:00; P; T
742; 2017-05-12; 14:54:00; 15:23:00; P; T
744; 2017-06-23; 17:45:00; 19:22:00; P; N
744; 2017-06-25; 10:57:00; 12:25:00; P; T
744; 2017-05-31; 09:37:00; 12:52:00; P; T
745; 2017-05-24; 17:20:00; 19:35:00; P; N
746; 2017-06-05; 15:27:00; 16:13:00; P; N
746; 2017-05-25; 09:31:00; 10:53:00; P; T
746; 2017-05-22; 12:32:00; 15:48:00; P; T
747; 2017-06-30; 09:29:00; 12:05:00; P; N
747; 2017-05-19; 17:45:00; 19:22:00; P; N
748; 2017-06-02; 14:40:00; 17:43:00; P; N
749; 2017-05-01; 17:59:00; 20:46:00; P; N
749; 2017-06-12; 11:50:00; 12:55:00; P; N
749; 2017-05-19; 16:19:00; 19:59:00; P; N
749; 2017-06-12; 13:31:00; 15:55:00; S; T
750; 2017-06-05; 13:44:00; 15:20:00; P; N
751; 2017-05-15; 10:31:00; 13:33:00; S; N
752; 2017-05-18; 16:14:00; 19:54:00; P; N
752; 2017-05-18; 08:07:00; 11:57:00; S; N
752; 2017-05-28; 08:41:00; 09:59:00; P; N
752; 2017-05-19; 13:29:00; 15:47:00; P; N
753; 2017-06-23; 08:46:00; 10:52:00; P; T
754; 2017-06-25; 16:40:00; 17:40:00; S; N
755; 2017-05-02; 08:55:00; 10:16:00; P; N
755; 2017-05-19; 12:01:00; 13:08:00; P; N
755; 2017-06-18; 14:54:00; 15:23:00; P; N
756; 2017-06-28; 16:18:00; 17:53:00; P; N
756; 2017-05-18; 09:06:00; 12:38:00; P; T
756; 2017-06-06; 10:31:00; 13:33:00; S; N
756; 2017-06-27; 08:46:00; 10:52:00; P; N
756; 2017-06-28; 17:45:00; 19:22:00; P; N
759; 2017-05-28; 12:08:00; 13:18:00; S; N
759; 2017-05-30; 12:08:00; 13:18:00; P; N
762; 2017-06-17; 16:18:00; 17:53:00; P; N
763; 2017-06-10; 09:58:00; 10:36:00; P; N
764; 2017-05-30; 11:50:00; 12:55:00; S; N
766; 2017-06-20; 16:52:00; 18:23:00; P; T
766; 2017-05-26; 14:54:00; 15:23:00; P; N
766; 2017-05-06; 14:01:00; 16:47:00; P; N
767; 2017-05-31; 13:35:00; 14:57:00; P; T
769; 2017-05-04; 11:23:00; 13:09:00; P; N
770; 2017-06-04; 15:59:00; 18:05:00; S; N
