numer rejestracyjny;Punkt A;Punkt B
SRS6116;0,588819;0,585771
ST97059;0,214637;0,217021
STA4751;0,004144;0,002196
STY6873;0,383727;0,380291
SW85648;0,168372;0,170196
SWD617N;0,116333;0,113373
SY78603;0,904266;0,90611
SZ59202;0,717067;0,714003
TSA241J;0,97919;0,977282
TSK2073;0,674361;0,670425
TST8888;0,253623;0,256579
TSZ4162;0,056482;0,058942
WA21713;0,870444;0,868652
WI32726;0,959534;0,96345
WJ47079;0,054336;0,058036
WK42847;0,8317;0,829744
WKZ1004;0,62874;0,630604
WL69908;0,917331;0,919063
WPU9780;0,444025;0,447085
WPY9119;0,144228;0,142376
WPZ7235;0,622036;0,620224
WR97385;0,126361;0,130357
WRA9291;0,476607;0,478759
WS94235;0,92649;0,925082
WSC4081;0,918811;0,915323
WSE356D;0,058838;0,056754
WSI3586;0,498648;0,497236
WSK9224;0,46205;0,45919
WSZ9428;0,763558;0,760234
WT62996;0,007579;0,010695
WU2974D;0,49057;0,493046
WW71217;0,126208;0,128316
WW17659;0,036773;0,034509
WW52111;0,10241;0,099714
WW82357;0,710811;0,707383
WX30361;0,288352;0,29112
WY27675;0,146864;0,149512
WZ58017;0,423686;0,42081
WZU7839;0,967655;0,964379
WZW2110;0,052663;0,048891
WZY9376;0,114995;0,113023
ZBI9880;0,551484;0,552996
ZSZ5258;0,911447;0,914731
ZWA9726;0,700198;0,702954
BL96423;0,526156;0,52922
BLM1403;0,68652;0,688684
BMN5915;0,356872;0,3594
BS53470;0,773409;0,775529
BSE8878;0,11723;0,115522
BSI1759;0,244333;0,247077
BSK8702;0,014217;0,011981
BSU6951;0,627401;0,625781
CAL4809;0,938582;0,941958
CB71301;0,696943;0,698627
CBR7720;0,13768;0,134328
CBY8643;0,749107;0,753027
CCH9482;0,585683;0,587267
CG47792;0,590848;0,593264
CGD9990;0,14569;0,143074
CGR9703;0,638406;0,640054
CIN691K;0,768716;0,772488
CLI2574;0,817162;0,81427
CSW4060;0,856785;0,853693
CT86442;0,451696;0,454168
CTR5598;0,614579;0,612971
CTU6811;0,581361;0,578525
CW96921;0,965522;0,961914
CWA6850;0,429481;0,426261
CWL2921;0,642319;0,644939
CZN5274;0,648124;0,646036
DB67589;0,03119;0,028662
DJE2146;0,783956;0,782564
DKA7028;0,77187;0,768526
DKL4966;0,996209;0,993185
DL55344;0,269104;0,270732
DPL8466;0,793863;0,797763
DSR6069;0,927354;0,930794
DST5125;0,413832;0,41626
DZL4203;0,745876;0,748492
EBE6538;0,65304;0,649144
EBR2084;0,627764;0,624268
ELE9063;0,880853;0,882981
ELW1531;0,643357;0,639417
EOP3703;0,894476;0,896192
EP33151;0,591151;0,587699
EPA1431;0,052143;0,050655
EPD7404;0,781846;0,784754
ETM4322;0,626494;0,628334
EWE455O;0,718107;0,719699
EWI1216;0,592388;0,588748
EZD7248;0,689285;0,687877
EZG1393;0,620569;0,623081
FG67386;0,305331;0,308487
FGW6752;0,087454;0,089934
FSL9473;0,271041;0,274029
FSU8901;0,939267;0,941751
FSW4979;0,78683;0,784966
FWS4179;0,429418;0,425634
FZ79420;0,142023;0,139995
FZA9518;0,623917;0,627597
FZG1291;0,62443;0,621498
FZI1328;0,860353;0,863061
GA43729;0,504239;0,502799
GBY8879;0,352459;0,355579
GCH6429;0,546445;0,544157
GCZ2096;0,530438;0,533066
GD19511;0,560152;0,556324
GDA138R;0,903016;0,90554
GSZ1612;0,239196;0,243
GTC745B;0,809547;0,811943
GWE9120;0,009325;0,007417
KBC3948;0,921642;0,924758
KBR9340;0,94211;0,945606
KTT7762;0,517907;0,516183
KWA9904;0,165837;0,167249
KWI9918;0,025695;0,023115
LB42424;0,913122;0,910598
LU21178;0,584831;0,587259
LUB2655;0,809341;0,812673
LWL7800;0,848694;0,851998
