LP,Data_przybycia,Nr_IMO,Bandera,Nabrzeze
1902,2016/10/05,9199402,GI,CZESKIE
1903,2016/10/05,9140956,BS,POLSKIE
1904,2016/10/05,9552056,AG,SLOWACKIE
1905,2016/10/06,8918485,MT,ZBOZOWE
1906,2016/10/06,9489546,NL,POZNANSKIE
1907,2016/10/06,9344320,PT,PARNICKIE
1908,2016/10/06,9349215,CY,FINSKIE
1909,2016/10/06,9381433,PT,SNOP N
1910,2016/10/06,9488815,NL,HOLENDERSKIE
1911,2016/10/06,9122227,AG,CZESKIE
1912,2016/10/06,9142643,AG,GORNOSLASKIE
1913,2016/10/06,7816484,VU,HUTA (KRA)
1914,2016/10/07,9161247,PL,BULWAR CHROBREGO
1915,2016/10/07,9142629,NL,HUTA (KRA)
1916,2016/10/07,8407228,DE,HUTA (KRA)
1917,2016/10/07,9434577,AG,REGALICA
1918,2016/10/07,9452543,MH,ZBOZOWE
1919,2016/10/07,9229051,NL,FARBOLAK SWFIL
1920,2016/10/07,8899081,PL,PRCIP
1921,2016/10/07,8404446,BE,CZESKIE
1922,2016/10/07,7638349,BS,CEMENTOWE
1923,2016/10/08,9075357,AG,KATOWICKIE
1924,2016/10/08,7615749,PL,HUTA (KRA)
1925,2016/10/08,9354349,MT,FINSKIE
1926,2016/10/08,9367762,NL,SLOWACKIE
1927,2016/10/08,9610341,CH,WALBRZYSKIE
1928,2016/10/08,8919855,AG,BELGIJSKIE
1929,2016/10/08,9277319,MT,CHORZOWSKIE
1930,2016/10/08,8857136,IS,PASAZERSKIE
1931,2016/10/08,7704057,PL,CAL
1932,2016/10/08,7700582,VC,POLSKIE
1933,2016/10/09,9393278,NL,SLOWACKIE
1934,2016/10/09,7032179,RU,WROCLAWSKIE
1935,2016/10/09,9365984,GI,FINSKIE
1936,2016/10/09,7402441,PL,BRAK
1937,2016/10/09,9118496,NO,HUTA (KRA)
1938,2016/10/10,9112155,MT,CPN III
1939,2016/10/10,8616087,LT,SLOWACKIE
1940,2016/10/10,9345374,NL,SNOP N
1941,2016/10/10,9463451,NL,GORNOSLASKIE
1942,2016/10/10,9481623,HK,KATOWICKIE
1943,2016/10/10,9197777,AG,SNOP S
1944,2016/10/10,9572006,NL,MAZOWIECKIE
1945,2016/10/10,8937534,PL,PRCIP
1946,2016/10/10,9713557,MH,CPN III
1947,2016/10/11,9085455,BE,BELGIJSKIE
1948,2016/10/11,8603377,RU,CZESKIE
1949,2016/10/11,9749099,GI,SNOP N
1950,2016/10/11,9699969,PA,CHORZOWSKIE
1951,2016/10/11,9136101,BE,ANGIELSKIE
1952,2016/10/11,9014937,MT,PARNICKIE
1953,2016/10/12,9379894,PA,KATOWICKIE - DALBY
1954,2016/10/12,9180877,AG,SNOP S
1955,2016/10/12,9489522,NL,HOLENDERSKIE
1956,2016/10/12,9349215,CY,FINSKIE
1957,2016/10/13,9126687,MT,HUTA (KRA)
1958,2016/10/13,7703259,AG,KATOWICKIE
1959,2016/10/13,9138757,DE,POZNANSKIE
1960,2016/10/13,8611013,AG,SNOP N
1961,2016/10/14,9161247,PL,BULWAR CHROBREGO
1962,2016/10/14,9350939,NL,CZESKIE
1963,2016/10/14,8505915,VC,HUTA (KRA)
1964,2016/10/14,7704057,PL,CAL
1965,2016/10/14,9369007,PT,CZESKIE
1966,2016/10/14,9691149,SG,SLOWACKIE
1967,2016/10/14,7928158,DK,HUTA (KRA)
1968,2016/10/14,8820092,LT,RUMUNSKIE
1969,2016/10/14,9242625,MH,DRZETOWSKIE N
1970,2016/10/14,9349186,AG,FINSKIE
1971,2016/10/14,8911841,FO,CEMENTOWE
1972,2016/10/14,8320585,DM,POLSKIE
1973,2016/10/14,7823334,VC,SNOP N
1974,2016/10/15,8505549,AG,FOSFATOWE
1975,2016/10/15,9180841,MT,BULGARSKIE
1976,2016/10/15,9219460,GI,PRZEMYSLOWE
1977,2016/10/16,9305362,PT,PARNICKIE
1978,2016/10/16,7615749,PL,FINSKIE
1979,2016/10/16,9408645,NL,MAZOWIECKIE
1980,2016/10/16,9125047,AG,PRZEMYSLOWE
1981,2016/10/17,9280689,AG,PARNICKIE
1982,2016/10/17,9115987,AG,BYTOMSKIE
1983,2016/10/17,6617855,AG,SNOP N
1984,2016/10/17,9479577,NL,CHORZOWSKIE
1985,2016/10/17,9201803,NL,SLOWACKIE
1986,2016/10/17,9155987,MT,CHORZOWSKIE
1987,2016/10/17,9431903,NL,MAZOWIECKIE
1988,2016/10/17,9171096,BB,PARNICKIE
1989,2016/10/17,8813972,NO,BULGARSKIE
1990,2016/10/17,9391127,MT,SPOLDZIELCZE
1991,2016/10/17,9015046,AG,WEGIERSKIE
1992,2016/10/18,9108439,VC,DRZETOWSKIE N
1993,2016/10/18,9356488,NL,HOLENDERSKIE
1994,2016/10/18,9474539,HK,CPN III
1995,2016/10/18,9213894,AG,SNOP N
1996,2016/10/18,9552056,AG,SLOWACKIE
1997,2016/10/18,9344538,IE,REGALICA
1998,2016/10/18,8919855,AG,BELGIJSKIE
1999,2016/10/19,9549657,RU,GORNOSLASKIE
2000,2016/10/19,9489558,NL,CZESKIE
2001,2016/10/19,9391127,MT,SPOLDZIELCZE
2002,2016/10/19,9344409,NL,REGALICA
2003,2016/10/19,9393278,NL,PRZEMYSLOWE
2004,2016/10/19,9344320,PT,PARNICKIE
2005,2016/10/19,9268887,NL,HUK
2006,2016/10/19,9187916,MT,BULGARSKIE
2007,2016/10/19,9165308,AG,GORNOSLASKIE
2008,2016/10/19,7504926,PL,PRCIP
2009,2016/10/20,8404446,BE,ANGIELSKIE
2010,2016/10/20,7924401,AG,ARSENAL
2011,2016/10/20,9148180,NL,REGALICA
2012,2016/10/20,9349215,CY,FINSKIE
2013,2016/10/20,9558024,GB,GLIWICKIE
2014,2016/10/20,7388657,DE,WALBRZYSKIE
2015,2016/10/21,9056040,BB,WALBRZYSKIE
2016,2016/10/21,8505927,AG,REGALICA
2017,2016/10/21,7641475,PL,CAL
2018,2016/10/21,9161247,PL,BULWAR CHROBREGO
2019,2016/10/21,9365984,GI,FINSKIE
2020,2016/10/21,9350460,NL,ZBOZOWE
2021,2016/10/21,9125085,AG,BYTOMSKIE
2022,2016/10/22,9118496,NO,HUTA (KRA)
2023,2016/10/22,8636817,SE,GRECKIE
2024,2016/10/22,9243526,CY,KATOWICKIE
2025,2016/10/22,9086605,FI,HUTA (KRA)
2026,2016/10/22,9245249,TR,CHORZOWSKIE
2027,2016/10/22,9467201,NL,SLOWACKIE
2028,2016/10/23,8873087,RU,GORNOSLASKIE
2029,2016/10/23,9344320,PT,PARNICKIE
2030,2016/10/23,9014717,MT,BYTOMSKIE
2031,2016/10/23,6604690,DK,ARSENAL
2032,2016/10/24,9423671,AG,HOLENDERSKIE
2033,2016/10/24,9378230,AG,BELGIJSKIE
2034,2016/10/24,9553244,LR,SLOWACKIE
2035,2016/10/24,9572006,NL,MAZOWIECKIE
2036,2016/10/24,9241695,MT,DRZETOWSKIE N
2037,2016/10/24,8719114,FO,GLIWICKIE
2038,2016/10/24,9557367,AG,REGALICA
2039,2016/10/24,8911841,FO,CEMENTOWE
2040,2016/10/25,9122227,AG,GORNOSLASKIE
2041,2016/10/25,8129395,FO,GLIWICKIE
2042,2016/10/25,8420086,CY,HUTA (KRA)
2043,2016/10/25,6617855,AG,SNOP N
2044,2016/10/25,8899081,PL,PRCIP
2045,2016/10/25,9208203,GI,CHORZOWSKIE
2046,2016/10/26,9136101,BE,ANGIELSKIE
2047,2016/10/26,8814196,DE,POZNANSKIE
2048,2016/10/26,9617961,HK,KATOWICKIE
2049,2016/10/26,9448671,LR,FINSKIE
2050,2016/10/26,7704057,PL,CAL
2051,2016/10/26,7924401,AG,SNOP N
2052,2016/10/27,8211629,CK,HUTA (KRA)
2053,2016/10/27,8918734,NL,WEGIERSKIE
2054,2016/10/27,9448877,HK,CPN III
2055,2016/10/27,9100152,AN,HUTA (KRA)
2056,2016/10/27,9180841,MT,BULGARSKIE
2057,2016/10/27,9247637,RU,BULGARSKIE
2058,2016/10/28,8919855,AG,BELGIJSKIE
2059,2016/10/28,9195949,MT,REGALICA
2060,2016/10/28,9187045,GI,SLOWACKIE
2061,2016/10/28,7402441,PL,BRAK
2062,2016/10/28,9240732,VC,GORNOSLASKIE
2063,2016/10/28,9057238,NL,POLSKIE
2064,2016/10/28,9256420,CY,PARNICKIE
2065,2016/10/28,9280689,AG,PARNICKIE
2066,2016/10/28,8937584,PL,PRCIP
2067,2016/10/28,9218222,BS,KATOWICKIE
2068,2016/10/28,9150535,MT,GLIWICKIE
2069,2016/10/28,9145140,BS,GLIWICKIE
2070,2016/10/28,9349215,CY,FINSKIE
2071,2016/10/29,9369007,PT,FINSKIE
2072,2016/10/29,8300327,PA,BULGARSKIE
2073,2016/10/29,9198654,NL,POZNANSKIE
2074,2016/10/29,9677404,NL,BYTOMSKIE
2075,2016/10/30,9313747,MT,HUK
2076,2016/10/30,9156199,BS,PARNICKIE
2077,2016/10/30,9263564,FO,HUTA (KRA)
2078,2016/10/30,9161182,LR,KATOWICKIE
2079,2016/10/31,9431903,NL,MAZOWIECKIE
2080,2016/10/31,9552082,AG,CZESKIE
2081,2016/10/31,8899108,PL,PRCIP
2082,2016/10/31,9631072,NL,CHORZOWSKIE
2083,2016/10/31,8505927,AG,REGALICA
2084,2016/11/01,9167332,CY,SLOWACKIE
2085,2016/11/01,8918708,NL,WEGIERSKIE
2086,2016/11/01,8315449,NL,SNOP N
2087,2016/11/01,9357494,NL,PRZEMYSLOWE
2088,2016/11/01,9313814,NL,GORNOSLASKIE
2089,2016/11/02,9190183,CY,BYTOMSKIE
2090,2016/11/02,8225474,PL,WARSZTATOWE
2091,2016/11/02,7928158,DK,HUTA (KRA)
2092,2016/11/02,9423786,BS,ZBOZOWE
2093,2016/11/02,9356505,NL,REGALICA
2094,2016/11/02,6605448,PL,WARSZTATOWE
2095,2016/11/02,8418019,NL,KATOWICKIE
2096,2016/11/02,9184811,AG,BYTOMSKIE
2097,2016/11/02,7700582,VC,POLSKIE
2098,2016/11/03,8400050,BS,BULGARSKIE
2099,2016/11/03,9364148,NL,GORNOSLASKIE
2100,2016/11/03,7924401,AG,ARSENAL
2101,2016/11/03,9201944,NL,SNOP S
2102,2016/11/03,8913708,NO,HUTA (KRA)
2103,2016/11/03,9416331,GB,BELGIJSKIE
2104,2016/11/03,9006370,GB,KATOWICKIE
2105,2016/11/03,8706349,CY,MAK
2106,2016/11/03,8714841,DE,WEGIERSKIE
2107,2016/11/04,8321656,DK,SNOP N
2108,2016/11/04,9391127,MT,SPOLDZIELCZE
2109,2016/11/04,9341782,NL,PIRS E
2110,2016/11/04,9239458,LR,GORNOSLASKIE
2111,2016/11/04,9361366,NL,CEMENTOWE
2112,2016/11/04,9341720,NL,SLOWACKIE
2113,2016/11/04,9392391,PA,HUTA (KRA)
2114,2016/11/04,9349215,CY,FINSKIE
2115,2016/11/04,9549619,RU,BULGARSKIE
2116,2016/11/04,9365984,GI,CZESKIE
2117,2016/11/05,8611192,AG,DRZETOWSKIE N
2118,2016/11/05,9391127,MT,SPOLDZIELCZE
2119,2016/11/05,9553012,PA,KATOWICKIE
2120,2016/11/05,7704057,PL,CAL
2121,2016/11/05,9658355,MH,CPN III
2122,2016/11/05,8719085,FO,REGALICA
2123,2016/11/05,8404458,VU,ANGIELSKIE
2124,2016/11/06,6815976,DK,REMONTOWE
2125,2016/11/06,8918734,NL,CZESKIE
2126,2016/11/06,9381407,AG,WULKAN N
2127,2016/11/06,9143374,BS,POLSKIE
2128,2016/11/06,8300327,PA,BULGARSKIE
2129,2016/11/06,9372212,AG,CZESKIE
2130,2016/11/06,9267704,NL,PARNICKIE
2131,2016/11/07,9201956,NL,HOLENDERSKIE
2132,2016/11/07,8513314,DE,WALBRZYSKIE
2133,2016/11/07,9108740,NO,FARBOLAK SWFIL
2134,2016/11/07,8402577,AG,BULGARSKIE
2135,2016/11/07,9218193,AG,SNOP N
2136,2016/11/07,7402441,PL,BRAK
2137,2016/11/07,9180853,AG,BULGARSKIE
2138,2016/11/07,7038680,NO,PARNICKIE
2139,2016/11/07,9528512,GI,SLOWACKIE
2140,2016/11/08,9341782,NL,PIRS E
2141,2016/11/08,9742417,PA,KATOWICKIE
2142,2016/11/08,9350460,NL,DRZETOWSKIE N
2143,2016/11/08,9578012,SG,CPN III
2144,2016/11/08,8705838,GL,REMONTOWE
2145,2016/11/08,9279068,NL,CZESKIE
2146,2016/11/08,9408645,NL,MAZOWIECKIE
2147,2016/11/08,9431903,NL,WARSZAWSKIE
2148,2016/11/08,9434149,CY,POZNANSKIE
2149,2016/11/08,9156175,GI,KATOWICKIE
2150,2016/11/08,9187928,MT,BULGARSKIE
2151,2016/11/09,8611013,AG,SNOP N
2152,2016/11/09,8100636,BS,GORNOSLASKIE
2153,2016/11/09,9201803,NL,SLOWACKIE
2154,2016/11/09,9100059,DE,DRZETOWSKIE N
2155,2016/11/09,8865896,SE,REGALICA
2156,2016/11/09,7514440,VC,SNOP S
2157,2016/11/09,7700594,VC,POLSKIE
2158,2016/11/10,8222185,AG,HUTA (KRA)
2159,2016/11/10,7382665,MT,WALBRZYSKIE
2160,2016/11/10,6507983,VC,ARSENAL
2161,2016/11/10,9161247,PL,BULWAR CHROBREGO
2162,2016/11/10,8104541,AG,POZNANSKIE
2163,2016/11/10,8919855,AG,SLOWACKIE
2164,2016/11/10,9187136,NL,PARNICKIE
2165,2016/11/11,8899108,PL,PRCIP
2166,2016/11/11,9349215,CY,FINSKIE
2167,2016/11/11,8857148,IS,PASAZERSKIE
2168,2016/11/11,9341782,NL,PIRS E
2169,2016/11/11,8636817,SE,GRECKIE
2170,2016/11/11,7924401,AG,GLIWICKIE
2171,2016/11/11,8024155,VC,HUTA (KRA)
2172,2016/11/12,9369007,PT,FINSKIE
2173,2016/11/12,9150236,MT,HUK
2174,2016/11/12,9566784,AG,KATOWICKIE
2175,2016/11/12,9218222,BS,GLIWICKIE
2176,2016/11/12,9013000,AG,POZNANSKIE
2177,2016/11/12,8603377,RU,GORNOSLASKIE
2178,2016/11/12,9583902,AG,HUK
2179,2016/11/12,8822612,BS,BULGARSKIE
2180,2016/11/13,7615749,PL,CZESKIE
2181,2016/11/13,8412699,BS,BULGARSKIE
2182,2016/11/13,9305362,PT,PARNICKIE
2183,2016/11/13,8402668,VC,SLOWACKIE
2184,2016/11/13,9558012,GB,KATOWICKIE
2185,2016/11/13,9760407,NL,BULGARSKIE
2186,2016/11/13,9240548,AG,GDANSKIE
2187,2016/11/13,8407228,DE,ODRA STARE
2188,2016/11/13,9129392,NL,CPN III
2189,2016/11/13,9121912,AG,BYTOMSKIE
2190,2016/11/13,9631345,AG,CHORZOWSKIE
2191,2016/11/13,9125841,BB,ANGIELSKIE
2192,2016/11/14,7641475,PL,CAL
2193,2016/11/14,9361354,NL,CEMENTOWE
2194,2016/11/14,8207379,DK,HUTA (KRA)
2195,2016/11/14,9156187,GI,POLSKIE
2196,2016/11/14,9713818,PA,SLOWACKIE
2197,2016/11/14,9549657,RU,CZESKIE
2198,2016/11/14,9052692,NL,PARNICKIE
2199,2016/11/14,9177882,AG,HUTA (KRA)
2200,2016/11/14,8906224,FI,REGALICA
2201,2016/11/14,9201956,NL,SNOP S
2202,2016/11/14,9163647,AG,SLOWACKIE
2203,2016/11/14,9218234,NL,SNOP S
2204,2016/11/15,6605503,PL,WARSZTATOWE
2205,2016/11/15,9418286,AG,BULGARSKIE
2206,2016/11/15,9582867,AG,GORNOSLASKIE
2207,2016/11/15,9214018,NL,HOLENDERSKIE
2208,2016/11/15,8911504,AG,POLSKIE
2209,2016/11/15,9746164,MH,KATOWICKIE - DALBY
2210,2016/11/16,9150509,MT,HUK
2211,2016/11/16,6605448,PL,WARSZTATOWE
2212,2016/11/16,6604690,DK,MAK
2213,2016/11/16,9572006,NL,WULKAN S
2214,2016/11/16,9458145,TR,PARNICKIE
2215,2016/11/16,9489558,NL,SLOWACKIE
2216,2016/11/16,9523952,GB,KATOWICKIE
2217,2016/11/16,9408645,NL,MAZOWIECKIE
2218,2016/11/16,9125671,ES,REGALICA
2219,2016/11/16,9122227,AG,CZESKIE
2220,2016/11/16,8628133,RU,WALBRZYSKIE
2221,2016/11/17,9161247,PL,BULWAR CHROBREGO
2222,2016/11/17,9223435,NL,CHORZOWSKIE
2223,2016/11/17,7502021,CK,REMONTOWE
2224,2016/11/17,9191955,AG,SNOP S
2225,2016/11/17,9000833,BB,HUTA (KRA)
2226,2016/11/18,9130200,MT,GLIWICKIE
2227,2016/11/18,9086605,FI,CZESKIE
2228,2016/11/18,9391127,MT,FARBOLAK SWFIL
2229,2016/11/18,9142643,AG,BULGARSKIE
2230,2016/11/18,9100138,NO,RUMUNSKIE
2231,2016/11/18,9658355,MH,CPN III
2232,2016/11/18,9365984,GI,FINSKIE
2233,2016/11/18,9375836,AG,PRZEMYSLOWE
2234,2016/11/18,8129395,FO,KATOWICKIE
2235,2016/11/18,9136838,MT,ZBOZOWE
2236,2016/11/18,9142629,NL,HUTA (KRA)
2237,2016/11/18,9180865,AG,GLIWICKIE
2238,2016/11/18,9140956,BS,BULGARSKIE
2239,2016/11/18,9290048,AG,BULGARSKIE
2240,2016/11/19,9349215,CY,FINSKIE
2241,2016/11/19,7615749,PL,SPOLDZIELCZE
2242,2016/11/19,9288552,TH,KATOWICKIE
2243,2016/11/19,9391127,MT,SPOLDZIELCZE
2244,2016/11/19,9171101,CY,PARNICKIE
2245,2016/11/20,9491757,BB,BULGARSKIE
2246,2016/11/20,8211629,CK,HUTA (KRA)
2247,2016/11/20,9775177,PA,CHORZOWSKIE
2248,2016/11/20,9150482,MT,BULGARSKIE
2249,2016/11/21,9391127,MT,SPOLDZIELCZE
2250,2016/11/21,7514440,VC,HUTA (KRA)
2251,2016/11/21,9710335,MT,CPN III
2252,2016/11/21,8801084,NL,PARNICKIE
2253,2016/11/21,9364148,NL,BULGARSKIE
2254,2016/11/21,9518256,NL,KATOWICKIE
2255,2016/11/21,9356490,NL,HOLENDERSKIE
2256,2016/11/21,9006332,NL,REGALICA
2257,2016/11/21,9057238,NL,PARNICKIE
2258,2016/11/22,9391127,MT,SPOLDZIELCZE
2259,2016/11/22,9155913,CY,WALBRZYSKIE
2260,2016/11/22,9255622,CW,GORNOSLASKIE
2261,2016/11/22,9367762,NL,SLOWACKIE
2262,2016/11/22,9085455,BE,ANGIELSKIE
2263,2016/11/22,8104541,AG,POZNANSKIE
2264,2016/11/22,8912481,FI,CZESKIE
2265,2016/11/23,8911841,FO,CEMENTOWE
2266,2016/11/23,9196266,BS,SNOP S
2267,2016/11/23,9391127,MT,SPOLDZIELCZE
2268,2016/11/23,9165308,AG,CZESKIE
2269,2016/11/23,9505687,LV,PARNICKIE
2270,2016/11/23,8504208,DE,KATOWICKIE
2271,2016/11/23,9458248,NL,GORNOSLASKIE
2272,2016/11/24,8222185,AG,BYDGOSKIE
2273,2016/11/24,8905115,DE,ZBOZOWE
2274,2016/11/24,9201970,NL,GLIWICKIE
2275,2016/11/24,8908806,BB,HUK
2276,2016/11/24,9195755,NL,SNOP S
2277,2016/11/24,9161247,PL,BULWAR CHROBREGO
2278,2016/11/24,9391127,MT,SPOLDZIELCZE
2279,2016/11/24,9658355,MH,CPN III
2280,2016/11/24,9313876,NL,GLIWICKIE
2281,2016/11/25,8922266,BS,POZNANSKIE
2282,2016/11/25,9349215,CY,FINSKIE
2283,2016/11/25,9015462,AG,BULGARSKIE
2284,2016/11/25,8603377,RU,CZESKIE
2285,2016/11/25,6519302,PL,REMONTOWE
2286,2016/11/25,8918708,NL,WEGIERSKIE
2287,2016/11/25,9369007,PT,FINSKIE
2288,2016/11/25,7704057,PL,CAL
2289,2016/11/25,9113018,FI,PIRS E
2290,2016/11/25,9201956,NL,BULGARSKIE
2291,2016/11/26,9391127,MT,SPOLDZIELCZE
2292,2016/11/26,8230376,RU,HUTA (KRA)
2293,2016/11/26,9118496,NO,HUTA (KRA)
2294,2016/11/26,6605503,PL,WARSZTATOWE
2295,2016/11/26,9370094,AG,BYTOMSKIE
2296,2016/11/26,8915902,DE,SNOP S
2297,2016/11/27,8320585,DM,POLSKIE
2298,2016/11/27,9467201,NL,CZESKIE
2299,2016/11/27,8225474,PL,WARSZTATOWE
2300,2016/11/27,8919855,AG,FINSKIE
2301,2016/11/27,8100636,BS,PARNICKIE
2302,2016/11/27,8504947,DE,GLIWICKIE
2303,2016/11/27,8628133,RU,WALBRZYSKIE
2304,2016/11/27,9391127,MT,SPOLDZIELCZE
2305,2016/11/28,9199256,AG,PARNICKIE
2306,2016/11/28,9528483,CY,KATOWICKIE
2307,2016/11/28,9019200,AG,GORNOSLASKIE
2308,2016/11/28,9521863,LR,DOK 5
2309,2016/11/29,9313802,NL,PRZEMYSLOWE
2310,2016/11/29,9391127,MT,SPOLDZIELCZE
2311,2016/11/29,9496252,BS,GNIE????NIENSKIE
2312,2016/11/29,8920282,NO,HUTA (KRA)
2313,2016/11/29,8404446,BE,ANGIELSKIE
2314,2016/11/29,9234410,BS,CHORZOWSKIE
2315,2016/11/29,7704057,PL,CAL
2316,2016/11/30,9517240,NL,REGALICA
2317,2016/11/30,9391127,MT,SPOLDZIELCZE
2318,2016/11/30,8412417,VC,HUTA (KRA)
2319,2016/11/30,9100059,DE,BYDGOSKIE
2320,2016/11/30,8511885,VC,FOSFATOWE
2321,2016/11/30,7641475,PL,CAL
2322,2016/11/30,8222185,AG,SNOP S
2323,2016/12/01,9199385,GI,SLOWACKIE
2324,2016/12/01,9357509,NL,BULGARSKIE
2325,2016/12/01,7704057,PL,CAL
2326,2016/12/01,9760407,NL,PARNICKIE
2327,2016/12/01,9356567,NL,GLIWICKIE
2328,2016/12/01,9442184,HK,CPN III
2329,2016/12/01,9044932,CY,POZNANSKIE
2330,2016/12/01,8504208,DE,HUK
2331,2016/12/01,8919221,AG,DRZETOWSKIE N
2332,2016/12/01,9256420,CY,PARNICKIE
2333,2016/12/02,8911841,FO,CEMENTOWE
2334,2016/12/02,9349215,CY,FINSKIE
2335,2016/12/02,9566796,GI,BELGIJSKIE
2336,2016/12/03,9013000,AG,SNOP N
2337,2016/12/03,9346835,BS,GDYNSKIE S
2338,2016/12/03,9369007,PT,FINSKIE
2339,2016/12/04,8513314,DE,CHORZOWSKIE
2340,2016/12/04,9313797,NL,CHORZOWSKIE
2341,2016/12/04,9108740,NO,HUTA (KRA)
2342,2016/12/04,9238387,NL,PARNICKIE
2343,2016/12/04,9045728,AG,KATOWICKIE
2344,2016/12/04,9100138,NO,BULGARSKIE
2345,2016/12/04,6617855,AG,ODRA NOWE
2346,2016/12/04,7615749,PL,SPOLDZIELCZE
2347,2016/12/04,9498925,MH,ZBOZOWE
2348,2016/12/05,7704057,PL,CAL
2349,2016/12/05,9356488,NL,GORNOSLASKIE
2350,2016/12/05,9195822,FO,KATOWICKIE
2351,2016/12/05,8129395,FO,GLIWICKIE
2352,2016/12/05,9565194,AG,BULGARSKIE
2353,2016/12/05,9201803,NL,CZESKIE
2354,2016/12/05,8906224,FI,SLOWACKIE
2355,2016/12/05,7421863,KN,SPOLDZIELCZE
2356,2016/12/06,8603377,RU,CZESKIE
2357,2016/12/06,9256420,CY,PARNICKIE
2358,2016/12/06,9150509,MT,WALBRZYSKIE
2359,2016/12/06,9085455,BE,REGALICA
2360,2016/12/06,9291717,IE,GLIWICKIE
2361,2016/12/06,9013048,NL,HUTA (KRA)
2362,2016/12/06,8209731,GI,REMONTOWE
2363,2016/12/07,9555333,RU,BULGARSKIE
2364,2016/12/07,7421863,KN,SPOLDZIELCZE
2365,2016/12/07,9279068,NL,WEGIERSKIE
2366,2016/12/07,9448877,HK,CPN III
2367,2016/12/08,9313826,NL,SLOWACKIE
2368,2016/12/08,9454462,AG,HOLENDERSKIE
2369,2016/12/08,9210359,RU,KATOWICKIE
2370,2016/12/08,9180841,MT,BULGARSKIE
2371,2016/12/08,7615749,PL,SPOLDZIELCZE
2372,2016/12/08,9534286,AG,SNOP S
2373,2016/12/08,9159426,LR,ZBOZOWE
2374,2016/12/08,9112351,MT,SLOWACKIE
2375,2016/12/09,7421863,KN,SPOLDZIELCZE
2376,2016/12/09,8919855,AG,BELGIJSKIE
2377,2016/12/09,9199385,GI,WALBRZYSKIE
2378,2016/12/09,9387310,AG,REGALICA
2379,2016/12/09,9521837,LR,GDANSKIE
2380,2016/12/09,9419278,CW,GORNOSLASKIE
2381,2016/12/09,9148128,NL,HUK
2382,2016/12/09,9161247,PL,BULWAR CHROBREGO
2383,2016/12/09,9349215,CY,FINSKIE
2384,2016/12/09,9122227,AG,GORNOSLASKIE
2385,2016/12/10,9365984,GI,CZESKIE
2386,2016/12/10,9408645,NL,MAZOWIECKIE
2387,2016/12/10,9551961,NL,CZESKIE
2388,2016/12/10,9140815,MT,FARBOLAK SWFIL
2389,2016/12/10,9346847,BS,ARSENAL
2390,2016/12/10,9350460,NL,SNOP N
2391,2016/12/10,9526485,MH,SLOWACKIE
2392,2016/12/11,9364148,NL,KATOWICKIE
2393,2016/12/11,9232486,NL,PARNICKIE
2394,2016/12/11,9210012,BS,CHORZOWSKIE
2395,2016/12/11,9006332,NL,REGALICA
2396,2016/12/11,9677399,NL,BYTOMSKIE
2397,2016/12/11,9057252,BZ,ROSYJSKIE
2398,2016/12/11,9760378,NL,PARNICKIE
2399,2016/12/11,9014705,MT,GLIWICKIE
2400,2016/12/11,9155949,GI,CZESKIE
2401,2016/12/11,8205187,AG,SNOP S
2402,2016/12/12,9052707,AG,RUMUNSKIE
2403,2016/12/12,9223435,NL,FOSFATOWE
2404,2016/12/12,9247637,RU,WALBRZYSKIE
2405,2016/12/12,8404458,VU,HUTA (KRA)
2406,2016/12/13,9165308,AG,GORNOSLASKIE
2407,2016/12/13,9235505,AG,HUK
2408,2016/12/13,6507983,VC,SNOP S
2409,2016/12/13,9571208,GI,ARSENAL
2410,2016/12/13,9411769,NL,HOLENDERSKIE
2411,2016/12/13,9526100,NL,KATOWICKIE
2412,2016/12/13,9199684,AG,CHORZOWSKIE
2413,2016/12/13,9549621,RU,BULGARSKIE
2414,2016/12/13,7330052,NO,PARNICKIE
2415,2016/12/14,8918734,NL,WEGIERSKIE
2416,2016/12/14,9197454,AG,REGALICA
2417,2016/12/14,7704057,PL,CAL
2418,2016/12/14,7421863,KN,SPOLDZIELCZE
2419,2016/12/14,9088847,NO,ODRA STARE
2420,2016/12/14,7382665,MT,GLIWICKIE
2421,2016/12/14,9234276,NL,GORNOSLASKIE
2422,2016/12/15,9431018,MT,BYTOMSKIE
2423,2016/12/15,9177868,AG,HUTA (KRA)
2424,2016/12/15,9734264,BS,CEMENTOWE
2425,2016/12/15,9214018,NL,GLIWICKIE
2426,2016/12/15,8802064,DK,HUTA (KRA)
2427,2016/12/15,7823982,NO,BULGARSKIE
2428,2016/12/15,9167978,LV,WULKAN N
2429,2016/12/15,9300489,PT,PARNICKIE
2430,2016/12/15,9349215,CY,FINSKIE
2431,2016/12/15,9658355,MH,CPN III
2432,2016/12/15,9277278,AG,BULGARSKIE
2433,2016/12/16,7615749,PL,SPOLDZIELCZE
2434,2016/12/16,9279068,NL,CZESKIE
2435,2016/12/16,8500898,GI,CHORZOWSKIE
2436,2016/12/16,9369007,PT,FINSKIE
2437,2016/12/16,9279111,HK,KATOWICKIE - DALBY
2438,2016/12/16,8601680,KN,BULGARSKIE
2439,2016/12/17,7615749,PL,SPOLDZIELCZE
2440,2016/12/17,7641475,PL,CAL
2441,2016/12/17,9466221,NL,KATOWICKIE
2442,2016/12/17,9173692,FI,PIRS E
2443,2016/12/17,8320585,DM,POLSKIE
2444,2016/12/17,9529188,NL,CZESKIE
